"Name","architecture","dropout","finetune_lr_factor","group_loss_weight","img_size","label_smoothing_eps","learning_rate","num_unfreeze_blocks","scheduler_factor","transform_mode","use_weighted_sampler","weight_decay","LR/P1","LR/P2","Loss/P1_train","Loss/P1_val","Acc/P1_train","Acc/P1_val","P1 Acc/train","Acc/P2_train","Acc/P2_val","P2 Acc/train","P1 Loss/train","P1 Loss/val","P1 Acc/val","P1 LR","P2 Acc/val","P2 Loss/train"
"stilted-sweep-70","efficientnet_v2_s","0.2","0.1","0.3","300","0.3","0.0005","4","0.5","standard","false","0.0001","0.0005","0.00005","2.812891863286495","2.796871066093445","0.9285801638742816","0.8919315403422983","","0.981533569768864","0.9315403422982884","","","","","","",""
"polished-sweep-69","efficientnet_b0","0.2","0.03","0.7","224","0.3","0.0005","4","0.7","augmented","true","0.00001","0.0005","0.000015","4.099557001143694","4.212523929774761","0.8214504096857038","0.7061124694376528","","0.8978843096490156","0.7691931540342298","","","","","","",""
"wandering-sweep-68","efficientnet_b0","0.3","0.03","0.3","224","0.1","0.0005","3","0.7","augmented","true","0.0005","0.0005","0.000015","2.071363942697644","2.193666737526655","0.8082426317720436","0.7095354523227384","","0.8664546899841018","0.7647921760391198","","","","","","",""
"treasured-sweep-67","resnet50","0.2","0.1","0.7","224","0.15","0.0003","2","0.7","pad","false","0.0001","0.0003","0.000029999999999999997","2.2581117060035467","2.5307492837309837","0.9575638987403692","0.8386308068459658","","0.9904610492845788","0.8655256723716381","","","","","","",""
"youthful-sweep-66","resnet50","0.1","0.1","0.5","300","0.2","0.001","2","0.5","pad","true","0.00001","0.001","0.0001","2.2502638176083565","2.561855211853981","0.9915616974440504","0.8767726161369194","","0.9980432921609392","0.8850855745721271","","","","","","",""
"blooming-sweep-65","resnet18","0.4","0.1","0.5","300","0.15","0.0005","3","0.3","standard","false","0","0.0005","0.00005","2.928560135886073","2.6959219723939896","0.7291182585300232","0.7858190709046454","","0.8439525498349028","0.8029339853300733","","","","","","",""
"vague-sweep-64","resnet50","0.4","0.1","0.7","300","0.1","0.0005","4","0.5","pad","true","0.0005","0.0005","0.00005","1.9357763146981597","2.100594140589237","0.9481472422648892","0.8562347188264059","","0.9899718723248137","0.8811735941320293","","","","","","",""
"misty-sweep-63","resnet18","0.4","0.05","0.7","224","0.15","0.0008","3","0.7","standard","true","0","0.0008","0.00004","3.1503670886158943","2.967377431690693","0.7495413966002201","0.769682151589242","","0.8400391341567812","0.7755501222493888","","","","","","",""
"misty-sweep-62","resnet18","0.5","0.03","0.5","300","0.3","0.0003","2","0.3","augmented","true","0.0001","0.0003","0.000008999999999999999","4.241843245923519","3.889666900038719","0.6129387305857894","0.7457212713936431","","0.7018466430231136","0.784841075794621","","","","","","",""
"radiant-sweep-61","resnet50","0.5","0.03","0.3","300","0.15","0.0003","4","0.3","standard","false","0","0.0003","0.000008999999999999999","2.3964217472821474","2.414605051279068","0.8499449675920264","0.8141809290953546","","0.9102360278830868","0.854278728606357","","","","","","",""
